StateName,TotalConfirmed,TotalRecovered,TotalDeaths,StateCode,UpdatedOn
Andaman and Nicobar,6150,5850,70,35,2021-05-04 08:00:00-05:30
Andhra Pradesh,1163994,1003935,8207,28,2021-05-04 08:00:00-05:30
Arunachal Pradesh,18958,17363,59,12,2021-05-04 08:00:00-05:30
Assam,263450,234237,1389,18,2021-05-04 08:00:00-05:30
Bihar,509047,398558,2821,10,2021-05-04 08:00:00-05:30
Chandigarh,45196,36746,507,4,2021-05-04 08:00:00-05:30
Chhattisgarh,771701,641449,9275,22,2021-05-04 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8008,6334,4,26,2021-05-04 08:00:00-05:30
Delhi,1212989,1105983,17414,7,2021-05-04 08:00:00-05:30
Goa,98088,70929,1320,30,2021-05-04 08:00:00-05:30
Gujarat,607422,452275,7648,24,2021-05-04 08:00:00-05:30
Haryana,527773,418425,4626,6,2021-05-04 08:00:00-05:30
Himachal Pradesh,107121,83721,1612,2,2021-05-04 08:00:00-05:30
Jammu and Kashmir,187219,150231,2421,1,2021-05-04 08:00:00-05:30
Jharkhand,251371,188623,3073,20,2021-05-04 08:00:00-05:30
Karnataka,1646303,1185299,16250,29,2021-05-04 08:00:00-05:30
Kerala,1664789,1313109,5450,32,2021-05-04 08:00:00-05:30
Ladakh,14315,12884,148,37,2021-05-04 08:00:00-05:30
Lakshadweep,3080,1868,6,31,2021-05-04 08:00:00-05:30
Maharashtra,4771022,4041158,70851,27,2021-05-04 08:00:00-05:30
Manipur,32523,30030,422,14,2021-05-04 08:00:00-05:30
Meghalaya,17675,15606,185,17,2021-05-04 08:00:00-05:30
Mizoram,6556,5112,17,15,2021-05-04 08:00:00-05:30
Madhya Pradesh,600430,508775,5905,23,2021-05-04 08:00:00-05:30
Nagaland,14451,12752,115,13,2021-05-04 08:00:00-05:30
Odisha,471536,404063,2073,21,2021-05-04 08:00:00-05:30
Puducherry,62160,50698,848,34,2021-05-04 08:00:00-05:30
Punjab,392042,321861,9472,3,2021-05-04 08:00:00-05:30
Rajasthan,651247,452164,4712,8,2021-05-04 08:00:00-05:30
Sikkim,8468,6595,150,11,2021-05-04 08:00:00-05:30
Tamil Nadu,1228064,1090338,14468,33,2021-05-04 08:00:00-05:30
Telengana,463361,381365,2476,36,2021-05-04 08:00:00-05:30
Tripura,35994,33869,400,16,2021-05-04 08:00:00-05:30
Uttar Pradesh,1342413,1043134,13447,9,2021-05-04 08:00:00-05:30
Uttarakhand,197023,138657,2930,5,2021-05-04 08:00:00-05:30
West Bengal,880894,749296,11637,19,2021-05-04 08:00:00-05:30
